Nid;Name;description;Project country;Funding area
2137;Vamos Seguro makes the skies safer;<p>Over the past two decades Mount Etna, on the Italian Island of Sicily, has become increasingly active. It is currently Europe's most active volcano and, indeed, one of the world's most active volcanoes. To monitor and forecast volcanic ash plumes produced during Etna's eruptions, a cross-border project between Italy and Malta has led to the installation of an automatic detection system on the islands of Sicily and Malta and enabled making the skies over the central Mediterranean Sea safer for aircrafts.</p>;IT;Research & innovation
2138;TELEDIAG enables faster, more precise diagnosis and better treatment for patients on the Romanian-Serbian border;<p>A ground-breaking, first-of-its-kind collaboration project between health institutions in Romania and Serbia uses innovative e-information and e-communication technologies to improve healthcare services while lowering the cost of treatment. the TELEDIAG project creates a telemedicine network between hospitals and health centres on both sides of the border that allow the sharing of medical information and enable local doctors to consult specialists in order to make more accurate diagnoses and explore the best treatment options.</p>;RO;Research & innovation
2141;New space for R&D in the 'Ambient Intelligence' building;<p>A new building for pioneering research at the Foundation for Research and Technology - Hellas provides high-quality research in the areas of space research and Ambient Intelligence (AmI). The AmI building is used for pioneering research activities and innovative application development in AmI and 'Smart Environments' that are then carried through into industry.</p>;GR;Research & innovation
2143;Clustering Expertise for Research and Innovation;<p>With an understanding that when it comes to innovation, two heads are better than one, the North Karelia region in Finland has combined the natural sciences expertise of the University of Eastern Finland with the technology background of the Karelia University of Applied Sciences. The result is a broad-based cluster founded on high-quality expertise in the fields of materials and precision technology and diffractive optics.</p>;FI;Research & innovation
2145;A beacon of light: Cleolux Greenlight creates energy savings;<p>Lighting uses up to 20% of all electricity consumption. A change to LED lighting introduced by the Cleopa GmbH in Germany has seen a reduction in energy consumption among its clients by at least 50%. The model allows LED users to make repayments over a period of time so that their repayments are lower than their predicted energy bill savings.</p>;DE;Research & innovation
2147;TerraSaline extracts clean water and fine salt from wastewater;<p>Terrawater, a specialist in desalination, has developed an environmentally friendly technology by which wastewater and high saline waters can be split into distilled water and high-quality salt. The TerraSaline apparatus, a development from Terrawater's basic desalination technology, uses natural evaporation to achieve the aim of 'zero liquid discharge' (ZLD) – a situation where all waste water is recycled and no liquids remain.</p>;DE;Research & innovation
2149;Cross-border training network trans-Formación is transforming rural development in Spain and Portugal;<p>Three neighbouring regions –Extremadura in Spain, Alentejo and Centro in Portugal– pool resources and exchange best practices to support green growth and employment. The network is revitalising the remote rural areas of Cáceres and Badajoz in Spain and Alto, Central and Baixo Alentejo and Beira Interior Sul in Portugal. Seven training centres provide courses and workshops where over 500 students have already acquired expertise in a wide variety of disciplines such as organic farming, beekeeping, management of natural and scenic resources, forestry conservation, bioenergy technologies, etc</p>;ES;Business
2150;Berlin-Rostock railway upgrade improves connections for passengers and goods;<p>As an integral part of the Trans-European Transport Network (TEN-T), the line is upgraded to bring higher capacity, shorter travel times, and better security. The investment ensures better accessibility between the agglomeration Berlin and Rostock, a key centre in the northeast of Germany at the coast of the Baltic Sea. In addition, the cities of Neustrelitz and Oranienburg profit from better connections to the two centres. This improves the integration of the Baltic Sea hinterland, a key objective of the Baltic Sea Strategy.</p>;DE;Transport
2151;Pioneering multi-purpose facility to scale-up production processes;<p>The Bioprocess Pilot Facility is a multi-purpose centre of expertise and technology that offers international companies, universities and research institutions the opportunity to test large-scale and sustainable methods of production. The new installation aims to develop industrial biobased solutions and speed up the transition to a biobased economy in the Netherlands. It offers a state of the art and open access pilot plant facility which is meeting the needs of innovators in the biobased economy. It offers a unique set of services from feedstock treatment to process optimisation.</p>;NL;Environment & climate
2155;'Kleinste Fabrik der Welt' (smallest factory in the world) produces environmentally-friendly homes;<p>Thanks to the use of innovative environmental technologies, the Weissenseer timber construction company produces high quality passive houses – in a high quality passive house. Originally a traditional carpenter, Weissenseer has recently specialised in the production of wooden passive houses, which now makes up almost 90% of the company's activity. The 'Smallest factory in the world' project created a novel production process: a new production line, manufactured according to passive house standards, which would streamline and automatise the construction of passive houses.</p>;AT;Business
2157;Rolling stock for suburban and regional railway passengers increases mobility for Slovak citizens;<p>A major upgrade of the rolling stock on Slovakia's railways is helping to create an integrated transport system, and aims to attract passengers away from less sustainable modes of transport. The investment foresees the purchase of nine electrical units seating at least 300 per unit, and 20 pieces of diesel multiple units seating at least 170 per unit. Drawing passengers away from individual road transport, road congestion and emissions of exhaust gases are expected to reduce while mobility is increased.</p>;SK;Transport
2158;New trams for a more efficient transport system;<p>Purchasing new trams for the Bratislava network will ensure an increased transport capacity. The initiative involves the purchase of 15 mono-directional and 15 bi-directional trams, which can hold a minimum of 220 passengers each, bringing the total capacity to a minimum of 6 600. These trams will serve on the existing tram network and on the new tram connection to the largest residential district of Petržalka.</p>;SK;Transport
2160;Győr Mobilis Interactive Exhibition Centre promotes education and training and encourages tourism;<p>The Mobilis Interactive Exhibition Centre, which opened in March 2012, is a unique attraction for education, training and tourism purposes. Located in Győr, Hungary, Mobilis is an interactive science arena, which aims to demonstrate natural and technological sciences through vehicles and transport. The main objective of the centre is to bring these sciences closer to the people in a memorable way.</p>;HU;Education & training
2161;Development of accessibility and multimodal transport infrastructure of Baja Public Port;<p>The Baja Public Port is one of the most important ports in Hungary, located on the Main-Rhine-Danube waterway system. The port, registered as the third tri-modal logistic point in Hungary has been awarded the title 'National Logistics Service Centre' and is known as one of the country's most important grain traffic centres. This project improved the transport infrastructure of the port through the reconstruction of Quay Charles IV, as well as the installation of a new drainage system.</p>;HU;Transport
2185;Coach for Entrepreneurial Opportunies (C-EO);"<p>Entrepreneurship is an important way to create economic growth and strengthen a society. Hence, it is important to support demographic groups, like <span class=""value"">young people, women, disabled and/or migrants</span>, which are underrepresented <span class=""value"">among the entrepreneurial population</span>. <span class=""value"">Coach for Entrepreneurial opportunities (C-EO) intend to pave pathways corresponding to the needs of these different groups, their expectations and their norms.</span><br /> </p>";NL;Education & training
2189;Counselling immigrants in vocational education and training (CIVET);<p>As the population ages over the upcoming years, the supply of labour will decrease. Meanwhile, the number of migrants in European countries is increasing. Migrants with vocational qualifications and adequate language skills are needed in the labour market. The 'Counselling immigrants in vocational education and training' project focuses on giving education providers a wide experience of learning techniques and methodologies to better assist immigrants to improve their skills.</p>;FI;Education & training
2205;Asyleasy: Videoguide Goes Italy;<p>Information dissemination on the asylum system is fundamental because some countries in Europe have seen a rise in anti-migrant campaigns, where feelings often are fed by ignorance and false information. Citizens need to be offered the chance to hear balanced accounts on immigration, allowing them to reach an informed opinion. For these reasons, this project aims to create a range of innovative tools which will help disseminate true and unbiased information on the asylum system.</p>;AT;Education & training
2215;Solidarity crossing borders (Solidarität überwindet Grenzen);<p>An encounter called 'Solidarity crossing borders' between different youth groups was organised by Youth without borders (JoG), a nationwide youth initiative in Germany of young refugees who campaign against racism, in cooperation with Welcome to Europe (w2eu), a transnational network with reach into many European countries. 20 participants from Germany and 20 from Greece took part in the project on Lesvos, Greece, where workshops concerning legal but also psychological questions (about dealing with trauma) relating to refugees were organised.</p>;DE;Education & training
2216;Villekulla - Life in a Asylum Seeker Centre;<p>The arrival centre for asylum-seekers, Bellevue, is managed by the Belgian Red Cross and located in Belgium. The main aim of the centre is to offer a safe residence to its inhabitants during their asylum procedure. Thanks to 'Villekulla - Life in a Asylum Seeker Centre', a volunteer could help out at the centre. The volunteer took care of daily routine work (serving meals, distributing sheets and sanitary articles, working in the reception) as well as initiated and arranged various activities ranging from sport and culture to language and computer courses or manual work.</p>;BE;Education & training
2217;Migration and fundamental rights at the southern borders of the European Union;<p>Almost every day media show us men, women and children board overcrowded and ill-equipped boats in an attempt to reach the south borders of the European Union. Furthermore, more recently the media have brought attention to the human rights violations in immigrant reception centres in Lampedusa. Thus, the main objective of JM Module didactic activities is to deepen the knowledge and critical assessment of issues related to legal and illegal migration at the southern border of EU.</p>;IT;Education & training
2222;Europe in a Nutshell: Internationalising European project;<p>Even in rural areas the number of asylum seekers and refugees is steadily growing. There are already several accommodations for migrants whose children usually attend the local schools. Thus, teachers have to meet new challenges: their intercultural and project management skills have to be significantly improved, so that tolerance becomes natural. These skills can be learned by following intercultural training courses and project management training courses.</p>;DE;Education & training
2226;Escape Europe (Kurdish youth join forces for a greater say on European policy on refugees);<p>The project Escape Europe is the result of the urgent necessity to involve young people in the political processes that determine the European refugee policy. Within the project, young people get the chance to get involved in policy making. In three conceptually different but mutually constructive trainings, young people with Kurdish roots get information on issues of refugee policies and ways to actually help refugees. With the help of their new knowledge and experience, they begin a dialogue with local and nationwide experts and decision makers.</p>;DE;Education & training
3575;A pilot network of small protected sites for plant species in Bulgaria using the micro-reserve model;<p>The 'BulPlantNet' project halted species loss in Bulgaria through the introduction of plant micro reserves, a conservation strategy pioneered by earlier LIFE projects in Spain. 'BulPlantNet' succeeded in having 58 sites outside the Natura 2000 network designated as 'Small Protected Sites' in Bulgarian legislation. These sites are home to 47 endangered plant species. The project also drafted actions plans for all 47 species.</p>;BG;Environment & climate
3576;Restoring semi-natural habitat types to a total cover of site Helnæs;<p>LIFE funding helped double the area of semi-natural habitats in the Helnaes Natura 2000 network site on the island of Funen. A carefully planned programme of works has restored and connected a mosaic of previously-threatened habitat types, benefitting endangered fauna and flora in the process. The project has also established an economically-viable approach to the long-term management of these sites, involving grazing of meadows.</p>;DK;Environment & climate
3577;Restoration of habitats of Community interest in the Basque Country's estuaries;<p>Estuarine habitats of EU importance in Spain’s Basque Country are threatened by the presence of the exotic and invasive bushy shrub, Baccharis halimifolia. This project implemented an ambitious campaign to combat the invasive species in three Basque estuary sites. The work entailed physical and chemical methods of removal and avoided the use of heavy machinery. More than 570 000 mature and five million juvenile plants of the invasive shrub were removed from a 212 hectare-area.</p>;ES;Environment & climate
3587;First implementation of a new waste recovery technology converting MSW into synthetic diesel fuel;<p>The DEMONSTRATION OF KDV TECH project aimed to develop the first full-scale demonstration of catalytic depolymerisation technology for the processing of municipal solid waste (MSW) produced in Catalonia. The demonstration plant is capable of treating up to 30 000 tonnes/yr of mixed MSW and the catalytic depolymerisation technology converts mixed biodegradable MSW into a synthetic diesel, which can replace conventional diesel.</p>;ES;Environment & climate
3595;Innovative Centrifugal Separator Technology for Energy Recovery and Oily Waste Volume Reduction;<p>The 'Pure Energy Separator' project demonstrated and evaluated an innovative continuous ejection technology, based on a method of expelling sludge from a separator. The system does not require any process water and therefore the sludge is concentrated and dry. The result shows that more than 90% of the waste oil can be reused. The volume of oil going for incineration is then reduced, which is in line with the objectives of the Directive for the Disposal of Waste Oils (75/439/EEC).</p>;SE;Environment & climate
3596;Thalassa Campaign: Educational and Participation Campaign for Marine Mammals in Greece;<p>The project's objective is to mitigate the imminent danger, caused by human-related threats, to the long-term term viability of all rare, endangered and important marine mammals inhabiting Greek waters. In order to achieve this, the project aims to raise the awareness of selected target audiences about marine mammals in Greece, the importance of these species for marine ecosystems, the imminent threats they face, and the conservation actions necessary to ensure their long-term viability.</p>;GR;Environment & climate
3607;Proposals for environmental policy and governance in the Slitere national park;<p>The POLPROP-NATURA project produced a policy document on sustainable tourism and biodiversity in Latvia. This proposal was based on an innovative approach to sustainable tourism taken by the project at the Slitere national park, a Natura 2000 site, and on the experience of other national parks in the Baltic region. The policy document will be used by the Latvian government as a basis for policy on tourism development in protected areas. The project activities helped raise awareness in the local community of the value of nature conservation as well as encourage changes in behaviour.</p>;LV;Environment & climate
3608;Ecological Certification of Products from Sustainable Marine Aquaculture;<p>In collaboration with numerous stakeholders such as producers, retailers, scientists, supervisory authorities and consumers, the ECOSMA project developed criteria for organic aquaculture. ECOSMA also set out 'Guidelines for sustainable marine aquaculture', which laid down the basics for the first CO2-footprinting exercise for aquaculture in the world.</p>;DE;Environment & climate
3614;Sniffer Rats II;"<p style=""text-align:justify"">Rats had already been trained to detect plastic landmines in conflict areas in Africa, but never before had they been used in operations or investigations by law enforcement agencies or customs. After a successful pilot training (2011-2013), Hercule II financed a project of the Dutch National Police to train rats for the detection of counterfeit cigarettes, making them able to distinguish these from the original cigarettes on the basis of their smell.</p>";NL;Education & training
3634;Maasroute, upgrade of inland waterways;<p>The Maasroute project, part of Priority Project 18 (Waterway axis Rhine/Meuse-Main-Danube), concerns inland waterways in the southern part of the Netherlands between the Waal river near Nijmegen and the Belgian border at Lanaye (near Liège). By upgrading the waterway from class Va to class Vb and increasing draught from 3.0 to 3.5 m, this important TEN-waterway will be able to accommodate more inland shipping and thus achieve a substantial modal shift.</p>;NL;Transport
3646;How green solutions for used vehicles can boost regional economies;<p>The EU-funded Mobile Heritage Centre (MEC) was set up in Rotterdam to help owners and heritage organisations in the sustainable restoration and preservation of used ships, aircraft, cars and trains. This project aims to encourage green mobility solutions that boost the local economy and improve the region’s quality of life by combining the best of authentic craftsmanship with innovative modern techniques and clean mobility concepts.</p>;NL;Research & innovation
3653;Green Well Westland – harnessing renewable energy;<p>The project used EAFRD support to establish a new state-of-the-art geo-thermal energy plant to heat the commercial cultivation of food and horticultural crops by a group of Dutch greenhouse businesses, providing financial and environmental benefits. Geo-thermal energy from geothermal reservoirs (reservoirs of hot water deep underneath the earth's surface) offers low cost and renewable power.</p>;NL;Agriculture and Rural Development
3654;Water conservation measures aid the Maltese isles;<p>Water conservation and climate action are very important for Malta, a country with limitations regarding water and a hot, dry climate. EAFRD funds supported a strategic set of coordinated project actions to both help ensure adequate supplies of irrigation water for agriculture, and increase knowhow about what needs to be done to properly protect Maltese water for future generations. The project helped improve knowledge and provide infrastructure for tackling the decline of vital groundwater reserves. This represents good practice in climate action and water use for EU agriculture.</p>;MT;Agriculture and Rural Development
4649;Metalwork qualifications for young refugees;<p>The Metal engineering qualifications project has been preparing young refugees in Germany for careers in metal engineering since April 2015. They receive German and mathematics lessons, complete industrial placements and learn welding or turning/milling.</p>;DE;Business
4650;Poultry Farm Modernisation for an Integrated Rearing-to-Marketing System;<p>A poultry business with a modern slaughterhouse wanted to develop a fully-integrated rearing-to-marketing system. EAFRD funds contributed to the redevelopment and modernistaion of eight poultry production units, creating jobs and expanding output and turnover. This upgrade enabled the farm-slaughterhouse to further expand production of high quality chickens in an integrated rearing-processing-marketing system for the Romanian market.</p>;RO;Agriculture and Rural Development
5065;Adding value to pork through farm modernisation;<p>This agricultural and livestock holding is a family business based on pork breeding, processing and marketing. The owners sought to increase the competitiveness of the farm through modernising their facilities in order to reduce costs. They also aimed to improve quality and adapt production to the needs of the market. More specifically, their objective was to invest in the processing and marketing of pork, pork meat and by-products (ham, sausages) in order to obtain a high quality final product.</p>;ES;Agriculture and Rural Development
5066;Organic, the Taste of Nature;<p>This information and promotion campaign on organic products targets the Dutch market. Four main actions include a comprehensive communication campaign, farm visits, a ten day national organic event, and participation at a trade fair on organic products. The campaign targets consumers, market participants (farmers, supermarkets, retailers), civil society organisations and press and media. The principal objective is to increase sales of organic products by raising awareness of the EU organic label and the benefits of organic products.</p>;NL;Agriculture and Rural Development
5070;Fresh fruit and vegetables - an essential part of a healthy, balanced diet;<p>This Austrian promotion and information campaign on fresh fruit and vegetables from the EU aims to increase regular consumption, especially by children. By informing consumers about the nutritional value of fruit and vegetables, their ready availability and simple and easy ways of preparation, the campaign focuses on increasing sales. To build healthy eating habits among children, special attention is paid to highlight the nutritional benefits and importance of fruit and vegetables.</p>;AT;Agriculture and Rural Development
5149;Better broadband access in Calabria;<p>The ‘Ultra-wide band and digital development in Calabria’ project aims to provide <strong>ultra-fast broadband</strong> services in Calabria, Italy. The project means that <strong>1.3 million people</strong> will have a better internet connection.</p>;IT;Business
5151;Modernising Bulgaria’s fire service saves more lives and property;<p>New and up-to-date fire engines and equipment are helping Bulgaria’s fire brigade improve <strong>response times</strong>, meaning <strong>fewer deaths</strong> and injuries and less damage to property.</p>;BG;Business
5156;Europe going local in Aquitaine;<p>The project ‘Aquitaine in Europe’ produced a web documentary series to showcase various local projects that had gained EU funding. Covering a wide-range of sectors such as health, environment, research, training, urban regeneration and transport, the web documentary highlights interviews with people whose lives have been improved by the projects. The idea behind the web documentary was to highlight the importance of the EU's actions at local level.</p>;FR;Education & training
5176;A sensory solution to efficient urban parking;<p>A new <strong>sensory system for detecting parking spaces</strong> (‘XALOC’) has been developed as part of an innovative project to cut fuel consumption and reduce traffic density in <strong>Barcelona, Spain</strong>.</p>;ES;Research & innovation
5185;Apulian ICT Living Lab – boosting innovation in southern Italy;<p>The European Commission worked with the Puglian region in southern Italy to create the Apulian ICT Living Lab model. The model focused on 8 specific areas, aiming to create a knowledge-intensive community to boost innovation and reduce the amount of time between developing a product idea and its market launch. The model helped local businesses meet local public sector needs through technological innovations. The EU contributed EUR 22 178 564 to the project.</p>;IT;Business
5217;Biotech and pharmaceutical industry project improves economic competitiveness;<p>The project brought together biotech and pharmaceutical professionals in Macaronésica in order to bring about greater cooperation and innovation. The main idea was to broaden the cooperation and awareness between different levels of R&D and bring new products to market more efficiently in the future.</p>;ES;Research & innovation
5234;Disabled children benefit from project to overcome social exclusion in Bulgaria;<p>The innovative residential alternatives complex (CSIAR) project promoted better social integration for disabled children and teenagers by building state of the art facilities that provide a homely living environment suited to their needs. The facilities have been designed with the children's well-being in mind as they rank among the most vulnerable groups in society. Access to specialised education, health and social services adapted to their specific needs are provided.</p>;BG;Business
5254;Railway signalling system improves safety and travel times in Greece;<p>The project improved the safety, signalling and telecommunications system of the Patras-Athens-Thessaloniki-Promachonas (PATHEP) railway axis in Greece. The goal was to enhance safety, improve passenger and freight mobility in the region and reduce travel times. The railway axis is part of the EU TEN-T policy programme which aims to better connect Member States' transport networks.</p>;GR;Transport
5255;The taste of adventure lies in the sea - Promotiong the consumption of fresh fish;<p>This programme aims to shed light on the importance of including marine products in our diet and to promote their consumption among primary school children. The programme also provides details on marine species and the role of consumers in preserving marine resources as well as on maritime professions.</p>;ES;Fisheries and Maritime Affairs
5258;Three seas - a new production plant for fish products;<p>A modern plant was constructed for the production of fishery products from primary processed fish with a daily capacity of one tonne of raw material. The company produces semi-preserved products, sterilised through the process of salting – fish fillet and marinated anchovies. The plant has modern technical equipment, meeting all requirements of EU veterinary and sanitary control standards for quality and safety. The production programme plan is for 1 000 tonnes of fish fillet and seven tonnes of marinated fish.</p>;BG;Fisheries and Maritime Affairs
5261;Løvlund aquaculture - More production, less environmental impact;<p>The Løvlund aquaculture farm was converted from a traditional farm into a modern, recirculated fish farm with raceways. The water, which used to be taken from the nearby river, is now coming from a new well and the damming of the river was removed completely.</p>;DK;Fisheries and Maritime Affairs
5263;Airbridge project - Salmon spawning grounds restored using helicopters;<p>The project restored spawning grounds for migratory fish, mainly salmon, in the Kymi River. The river has several rapids and currents, making the transport of gravel with traditional restoration methods very difficult or impossible. There are no proper roads and the river is 150 - 350 meters wide in the rapids area. The gravel restauration was therefore carried out using helicopters. The restored spawning grounds are located in the rapid areas of Piirteenkoski, Ahvionkoski, Kultaankoski and Pernoonkoski.</p>;FI;Fisheries and Maritime Affairs
5265;Szarvas-Fish - Productive and environmentally friendly investments on an intensive catfish farm;<p>EU funds were invested in the modernisation of processing factories in Szarvas and Tiszacsege. New equipment includes a new hatchery, a forage storehouse and a mechanical water cleaning system on the intensive farm in Szarvas, in order to make the water supply safer and cleaner.</p>;HU;Fisheries and Maritime Affairs
5426;Local employment through social enterprises in Hungary;<p>The project established two resource centres in the Zala and Cserehát regions in Hungary where there are many disadvantaged communities. The resource centres provide capacity building to local inhabitants from disadvantaged backgrounds so that they can create social enterprises and thus increase local employment.</p>;HU;Business
5484;RAS (recirculation aquaculture system) - testing and learning environment;<p>RAS farming will be one of the national priority areas in Finnish aquaculture development 2014-2020. However, the development needs of the sector had never been systematically identified. In addition Finland did not have proper R&D facilities that could be used to solve identified problems. This project brought together Finnish fish farmers to list their needs and challenges. A testing and learning facility was built on that basis.</p>;FI;Fisheries and Maritime Affairs
5485;Chalutec - at sea trial of two new types of selective fishing gear;<p>In fisheries, catching your commercial target while avoiding undersized specimens or unwanted species can be a challenge. After broad consultations between fishers, scientific institutes (IFREMER) and regional organisations, 32 French bottom trawlers targeting nephrops and hake in the Bay of Biscay took part in large-scale trials of two innovative devices. Each vessel had scientific observers on board to measure how the devices were performing.</p>;FR;Fisheries and Maritime Affairs
5487;Restoration and creation of spawning areas for salmon and trout in Testeboån river;<p>Until recently, Testeboån river was very inhospitable to wild migratory fish like salmon. In order to reintroduce a wild, self-sustaining salmon population, one condition was that the fish would be able to move up and down the river. To achieve this, waterways and spawning grounds were restored. The hydraulic power plants on the river were equipped to offer safe passage from their turbines and to guarantee sufficient water levels compatible with fish migration.</p>;SE;Fisheries and Maritime Affairs
5530;Fruit and Vegetable Producer Organisations - LV;"<p>The EU encourages farmers to set up Producer Organisations (their Associations and Producer Groups) and, by so doing, to strengthen their position on the market. A producer group is the first step to get recognition as a producer organisation. The EU supports the setting-up of Producer Organisations. It provides funding also for their ""operational programmes"" (50% EU support and 50% PO funding) which help farmers to plan their production, to innovate and to farm in an environmentally-friendly manner.</p>";LV;Agriculture and Rural Development
5531;Fruit and Vegetable Producer Organisations - HU;"<p>The EU encourages farmers to set up Producer Organisations (their Associations and Producer Groups) and, by so doing, to strengthen their position on the market. A producer group is the first step to get recognition as a producer organisation. The EU supports the setting-up of Producer Organisations. It provides funding also for their ""operational programmes"" (50% EU support and 50% PO funding) which help farmers to plan their production, to innovate and to farm in an environmentally-friendly manner.</p>";HU;Agriculture and Rural Development
5536;Fruit and Vegetable Producer Organisations - RO;"<p>The EU encourages farmers to set up Producer Organisations (their Associations and Producer Groups) and, by so doing, to strengthen their position on the market. A producer group is the first step to get recognition as a producer organisation. The EU supports the setting-up of Producer Organisations. It provides funding also for their ""operational programmes"" (50% EU support and 50% PO funding) which help farmers to plan their production, to innovate and to farm in an environmentally-friendly manner.</p>";RO;Agriculture and Rural Development
5812;School Milk Scheme - EU wide programme;<p>This programme aims to increase the consumption of dairy products at school to encourage healthier eating habits. The distribution of milk products containing important vitamins and minerals can be supported by educational measures, such as farm visits, to improve children's awareness of how food is produced and the importance of good nutrition. Participation by Member States is voluntary. The scheme strengthens the link between society and agriculture and contributes to shaping healthier diets, in the context of declining consumption of milk and increasing incidence of child obesity.</p>;BE;Agriculture and Rural Development
5813;Fruit and Vegetable Producer Organisations - BG;"<p>The EU encourages farmers to set up Producer Organisations (their Associations and Producer Groups) and, by so doing, to strengthen their position on the market. A producer group is the first step to get recognition as a producer organisation. The EU supports the setting-up of Producer Organisations. It provides funding also for their ""operational programmes"" (50% EU support and 50% PO funding) which help farmers to plan their production, to innovate and to farm in an environmentally-friendly manner.</p>";BG;Agriculture and Rural Development
7315;Bridging the vocational training gap between Denmark and Germany;<p>A vocational school project has laid the foundations for a more integrated Danish-German labour market in the Fehmarn Belt region.</p>;DK;Business
7320;Romania’s Sibiu and Mures counties benefit from road rehabilitation;<p>A major rehabilitation project is underway on Romania’s DN14 National Road between the Transylvanian towns of Sibiu and Sighisoara. It is part of a move by the Eastern European country to modernise its national transport infrastructure.</p>;RO;Transport
7321;New infrastructure at Riga hospital to boost health care quality in Latvia;<p>A new building with some 160 beds is being added to the Pauls Stradins Clinical University Hospital (PSCUH) in Riga as part of the country’s strategy to improve the quality of health care services in Latvia.</p>;LV;Business
7330;East European high-speed railway line – upgrading the Vaires-Baudrecourt section (France);<p>The project's aim was to upgrade the 300-km section of the East European High-Speed Line which runs between Vaires and Baudrecourt in France to European Rail Traffic Management System (ERTMS) version 2.3.0d.</p>;FR;Transport
7336;Upgrade of Spanish high-speed trains and lines;<p>The aim of this project was to upgrade all Spanish high-speed lines and trains to the European Train Control System (ETCS) version 2.3.0d, a train control standard that allows supervising train movements and stopping the train if necessary. ETCS is one element of the European Rail Traffic Management System (ERTMS), which replaces differing national technical systems, so that trains can run seamlessly across borders. The project included the planning, upgrade of the lines and trains, as well as the verification and testing.</p>;ES;Transport
7347;Igoumenitsa/Patras-Athens-Sofia-Budapest motorway links – strategic study;<p>The project's aim was to conduct a study on the development and upgrading of <strong>Priority Project 7</strong> (motorway connections between Igoumenitsa/Patras, Athens, Sofia and Budapest).</p>;GR;Transport
7400;μRALP Project – improving robot-assisted laser phonomicrosurgery on the larynx;<p>The project was designed to improve the safety, efficiency and quality of <strong>laser phonomicrosurgery</strong>, a set of surgical techniques used to treat minute abnormal growths in the <strong>larynx</strong>.</p>;IT;Research & innovation
7411;NIFTi Project – human-robot cooperation in search and rescue operations;<p>The aim of the project is to develop robots able to cooperate with humans in search and rescue operations, thereby reducing risks to the human members of the team.</p>;DE;Business
7650;Making Sense of Human-Human Conversation Data;<p>The overall goals of the SENSEI project are twofold. First, SENSEI will develop summarization/analytics technology to help users make sense of human conversation streams from diverse media channels. Second, SENSEI will design and evaluate its summarization technology in ecological environments, aiming to improve task performance and productivity of end-users.</p>;IT;Research & innovation
7682;New generation data centre – bringing innovation, research and technical development;<p>The project has a substantial trickledown effect on the entire region, demonstrating how new technology means new opportunities for development, growth and jobs.</p>;PT;Research & innovation
7683;Extending Budapest’s sewer system to unconnected districts;<p>The extension of Budapest’s sewer system to some previously unconnected districts leads to better health and quality-of-life for thousands of residents.</p>;HU;Environment & climate
7693;Czech Republic – new Bílý Kostel to Hrádek nad Nisou road link to boost regional economy;<p>EU investment in constructing a 7.64 km two-lane road connecting the I/35 between Bílý Kostel and Hrádek nad Nisou strengthens the region’s competitiveness and helps to develop tourism and improve road safety in this important northern border region of the Czech Republic.</p>;CZ;Environment & climate
7699;New trams added to Bratislava's public transport fleet;<p>A total of 45 new low-floor, high-capacity trams have been added to Bratislava's public transport fleet. This will benefit local residents, visitors and particularly commuters, of which a very high number use public transport in the Slovak capital on a daily basis.</p>;SK;Environment & climate
7700;Expressway D6 section Lubenec-Bošov  improves Western Bohemia’s road network;<p>Construction of a 4.12 km section of a four-lane motorway between Lubenec and Bošov in the Czech Republic will help improve the flow of traffic, increase safety and reduce congestion, noise and emissions in the Western Bohemia region.</p>;CZ;Transport
7702;Rotterdam-based European Transport Academy to become shipping industry knowledge hub;<p>Stichting STC-Group expands college to build high-tech knowledge hub in the shipping and logistics industry with investment from EU regional funding.</p>;NL;Business
7708;Dutch Game Garden – video game industry gets boost with start-up incubator;<p>The Dutch video game industry has been boosted through the creation of the start-up incubator, Dutch Game Garden, which provides an innovative networking space and services for industry leaders and new talent.</p>;NL;Business
7712;BioMed Martin –  developing innovative medical research and expertise in Slovakia;<p>The EU-funded BioMed Martin project resulted in a cutting-edge research centre that develops new diagnostic and therapeutic methods while strengthening the cooperation between the city of Martin and Slovakia’s Žilina region.</p>;SK;Business
7713;The Fričovce-Svinia motorway – connecting Slovakia’s regions with a modern road network;<p>The Fričovce – Svinia project is a 11.217 km section of the D1 motorway built in the north-eastern Slovakian region of Prešov to improve the connection, safety, economy, as well as the environment of its municipalities.</p>;SK;Environment & climate
7725;Bridge to med-tech success;<p>Smart support mechanisms help small but growing Swedish med-tech companies sell abroad and gain a foothold in new, profitable markets.</p>;SE;Research & innovation
7726;A clean sweep for tech growth in Denmark;<p>Researchers, businesses and public bodies in Denmark develop a world-leading clean technology cluster of businesses for smart, sustainable innovation.</p>;DK;Business
7733;FOODMET - Covered market at the Abattoirs de Cureghem;<p>The emblematic Anderlecht metal market has been more than an abattoir for many years now. Already in use as a function hall and a mushroom farm, this 19th century industrial building is taking on a new lease of life with the FOODMET project. A totally new covered market of about 12,000 m2, it is now welcoming sedentary traders.</p>;BE;Business
7734;Brussels Greenbizz - green and sustainable business incubator;<p>The promotion of sustainable growth, start-ups and fledgling businesses will benefit from a new support structure in a building with innovative architecture.</p>;BE;Research & innovation
7735;Urban benefits of efficient stock distribution;<p>A new urban distribution centre on the outskirts of Charleroi’s city centre will help cut congestion, improve operational efficiencies and contribute towards a greener, more sustainable future.</p>;BE;Research & innovation
7747;Working together to increase employability;<p>With unemployment levels at an all-time high in parts of Spain, ‘at risk’ individuals are being hit particularly hard. To mitigate this effect, the EU-funded Vives Emplea project is equipping them with the tools and skills they need to successfully secure employment.</p>;ES;Business
